Name,Address,Rent,Beds,Bath,Parking,Utilities,Type of Laundry,Latitude,Longitude
202 N. Fell,202 N. Fell,645,4,3,Yes,Yes,In-unit,40.5115483,-88.9867785
202 W. Locust,202 W. Locust,589,2,1,Yes,Yes,In-unit,40.513266,-88.98778750000001
204 N. Fell,204 N. Fell,489,4,2,Yes,Yes,In-Unit,40.5118275,-88.9868906
204 N. Oak,204 N. Oak,1025,1,1,Yes,No,In-unit W/D,40.5120924,-88.980836299999993
204 N. Oak,204 N. Oak,665,2,1,No,No,In-Unit,40.5120924,-88.980836299999993
204 W. Cypress,204 W. Cypress,475,6,3,No,No,In-unit,40.5154347,-88.9881051
205 N. Linden St,205 N. Linden St,615,4,2.5,Yes,Yes,Inp-unit,40.5120771,-88.9826911
206 Lindell,206 Lindell,349,3,1,Yes,Yes,In-unit,40.5036478,-88.9809671
206 Lindell,206 Lindell,419,2,1,Yes,Yes,In-unit,40.5036478,-88.9809671
206 Lindell,206 Lindell,595,3,3,Yes,Yes,In-Unit,40.5036478,-88.9809671
206 N. Fell,206 N. Fell,699,2,1,No,Yes,Coin,40.5119671,-88.98694669999999
206 N. Fell,206 N. Fell,799,1,1,No,No,In-Unit,40.5119671,-88.98694669999999
206 W. Cypress,206 W. Cypress,539,4,2,No,No,In-unit,40.5154363,-88.9882919
206 W. Mulberry,206 W. Mulberry,510,4,2,Yes,Yes,In-unit,40.5114405,-88.9880864
208 W. Locust,208 W. Locust,285,4,1,Yes,Yes,Coin,40.51327260000001,-88.9885348
208 W. Locust,208 W. Locust,415,3,1,Yes,Yes,Coin,40.51327260000001,-88.9885348
208 W. Locust,208 W. Locust,499,2,1,Yes,Yes,Coin,40.51327260000001,-88.9885348
210 N. School,210 N. School,539,4,2,Yes,Yes,In-unit,40.5126432,-88.98928219999999
216 W. Mulberry,216 W. Mulberry,620,4,4,Yes,Yes,In-unit,40.5115692,-88.9891701
301 E College,301 E College,869,1,1,Yes,No,Coin,40.5102826,-88.9806681
302 E. Mulberry,302 E. Mulberry,589,2,1,Yes,Yes,Coin,40.5115961,-88.9808923
302 E. Mulberry,302 E. Mulberry,769,1,1,Yes,No,Coin,40.5115961,-88.9808923
302 W. Willow,302 W. Willow,479,5,2,No,No,In-Unit,40.5141421,-88.9902724
302-304 Dewey,302-304 Dewey,465,4,2,No,No,In-Unit,40.5097183,-88.9808432
303 E. College,303 E. College,649,2,1,Yes,Yes,In-unit,40.510281,-88.9804812
303 N. University St.,303 N. University St.,535,2,1,Yes,Yes,In-Unit,40.51347699999999,-88.9937661
304 N. Fell,304 N. Fell,465,9,3,No,No,In-unit,40.5125442,-88.9870401
"304 N. Linden
St.",304 N. Linden St.,830,1,1,Yes,No,Coin,40.5127601,-88.9822004
304 N. Linden St,304 N. Linden St,475,2,1,Yes,Yes,Coin,40.5127601,-88.9822004
304 W. Willow,304 W. Willow,465,4,2,No,No,In-unit,40.5141438,-88.9904593
306 Normal,306 Normal,349,4,1,Yes,Yes,Coin,40.5136928,-88.99115049999999
306 Normal,306 Normal,425,3,1,Yes,Yes,Coin,40.5136928,-88.99115049999999
306 Normal Ave.,306 Normal Ave.,425,2,1,Yes,Yes,Coin,40.5136928,-88.99115049999999
308 N. Fell,308 N. Fell,549,7,2,No,No,In-unit,40.5128818,-88.98702139999999
310 W. Willow,310 W. Willow,649,3,3,Yes,Yes,In-unit,40.5140902,-88.99115049999999
311 S. Main,311 S. Main,430,2,1,Yes,Yes,Coin,40.50744770000001,-88.9951111
311 S. Main,311 S. Main,439,4,2,Yes,Yes,In-unit,40.50744770000001,-88.9951111
311 S. Main Remodels,311 S. Main Remodels,819,NA,1,Yes,No,Coin,40.50744770000001,-88.9951111
311 S. Main St,311 S. Main St,729,NA,1,Yes,No,Coin,40.50744770000001,-88.9951111
311 S. Main St,311 S. Main St,789,1,1,Yes,No,Coin,40.50744770000001,-88.9951111
